Year,Period,Value
2021,M12,15258
2021,M11,15108
2021,M10,14931
2021,M09,14765
2021,M08,14565
2021,M07,14339
2021,M06,14055
2021,M05,13782
2021,M04,13558
2021,M03,13352
2021,M02,13207
2021,M01,12835
2020,M12,12780
2020,M11,13289
2020,M10,13271
2020,M09,13029
2020,M08,12542
2020,M07,12261
2020,M06,11754
2020,M05,9945
2020,M04,8710
2020,M03,16198
2020,M02,16945
2020,M01,16853
2019,M12,16794
2019,M11,16745
2019,M10,16710
2019,M09,16645
2019,M08,16574
2019,M07,16511
2019,M06,16499
2019,M05,16505
2019,M04,16520
2019,M03,16523
2019,M02,16498
2019,M01,16517
2018,M12,16412
2018,M11,16361
2018,M10,16356
2018,M09,16325
2018,M08,16343
2018,M07,16329
2018,M06,16310
2018,M05,16261
2018,M04,16226
2018,M03,16239
2018,M02,16231
2018,M01,16209
2017,M12,16183
2017,M11,16160
2017,M10,16133
2017,M09,16140
2017,M08,16150
2017,M07,16122
2017,M06,16087
2017,M05,16046
2017,M04,16006
2017,M03,15941
2017,M02,15917
2017,M01,15874
2016,M12,15845
2016,M11,15826
2016,M10,15780
2016,M09,15785
2016,M08,15725
2016,M07,15679
2016,M06,15639
2016,M05,15583
2016,M04,15562
2016,M03,15535
2016,M02,15494
2016,M01,15454
2015,M12,15406
2015,M11,15374
2015,M10,15316
2015,M09,15279
2015,M08,15201
2015,M07,15168
2015,M06,15108
2015,M05,15103
2015,M04,15023
2015,M03,14981
2015,M02,14972
2015,M01,14915
2014,M12,14892
2014,M11,14849
2014,M10,14811
2014,M09,14768
2014,M08,14725
2014,M07,14703
2014,M06,14693
2014,M05,14670
2014,M04,14614
2014,M03,14564
2014,M02,14509
2014,M01,14489
2013,M12,14454
2013,M11,14432
2013,M10,14395
2013,M09,14339
2013,M08,14327
2013,M07,14288
2013,M06,14252
2013,M05,14193
2013,M04,14152
2013,M03,14113
2013,M02,14082
2013,M01,14037
2012,M12,13978
2012,M11,13910
2012,M10,13883
2012,M09,13872
2012,M08,13804
2012,M07,13735
2012,M06,13702
2012,M05,13705
2012,M04,13709
2012,M03,13706
2012,M02,13641
2012,M01,13600
2011,M12,13538
2011,M11,13511
2011,M10,13464
2011,M09,13426
2011,M08,13395
2011,M07,13370
2011,M06,13343
2011,M05,13293
2011,M04,13298
2011,M03,13247
2011,M02,13188
2011,M01,13149
